Northern_Ireland Maximum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
All 2017 and 2018 data are provisional.  Last updated 1/2/2018.

     JAN  Year     FEB  Year     MAR  Year     APR  Year     MAY  Year     JUN  Year     JUL  Year     AUG  Year    SEP   Year     OCT  Year     NOV  Year     DEC  Year     WIN  Year     SPR  Year     SUM  Year     AUT  Year     ANN  Year
     9.4  1916    10.3  1998    12.0  2012    15.5  2011    17.3  2008    19.6  1940    21.8  2013    22.1  1995    18.0  1959    15.1  1969    11.7  2011    10.0  2015    8.99  1989   13.45  2007   20.00  1995   14.20  2006   13.45  2007
     9.2  1989     9.7  1945    11.9  1948    15.2  2007    17.1  2017    19.1  1970    21.7  2006    22.0  1947    17.8  2014    14.7  2006    11.7  1994     9.5  1988    8.74  1998   13.30  2011   19.58  1976   13.97  1959   13.30  2006
     9.1  1932     9.3  2008    11.9  1938    13.8  2014    16.7  1959    18.9  2010    21.4  1983    20.8  1976    17.8  2006    14.7  1959    11.1  2015     9.4  1974    8.68  2008   13.27  2017   19.55  2006   13.94  2014   13.18  2014
     9.0  2007     9.3  1961    11.5  2003    13.5  2003    16.5  1960    18.8  2006    21.2  1989    20.5  1955    17.8  1949    14.6  2007    10.8  2007     9.4  1934    8.60  2007   13.00  2003   19.39  1983   13.84  2007   13.18  2003
     9.0  2002     9.2  2011    11.5  1961    13.3  1955    16.4  2001    18.8  1949    20.7  1955    20.2  1983    17.6  1971    14.6  1995    10.8  1948     9.3  2016    8.51  1943   12.91  1948   19.37  2013   13.83  2011   13.12  1959
     9.0  1921     9.1  1943    11.5  1929    13.3  1944    16.2  1919    18.7  2009    20.5  1934    20.1  2003    17.6  1941    14.4  2001    10.7  1997     9.3  1921    8.46  1975   12.88  2014   19.30  1975   13.76  1971   13.05  1997
     8.6  2005     8.8  2012    11.3  1945    13.0  2010    16.0  2016    18.7  1960    20.5  1921    20.1  1997    17.5  1991    14.4  1921    10.6  2001     9.2  1942    8.43  2017   12.84  1959   19.03  2003   13.74  1995   13.04  1921
     8.6  1944     8.8  1920    11.0  2017    13.0  1974    16.0  1990    18.7  1957    20.1  2014    20.1  1975    17.3  1929    14.2  1968    10.5  2002     9.1  1953    8.36  2002   12.84  1945   18.90  1955   13.70  2001   13.02  1949
     8.3  1974     8.7  2002    11.0  1957    13.0  1914    15.9  1953    18.6  1976    20.0  1995    19.6  1984    17.1  2016    14.1  1971    10.5  1978     9.0  1971    8.31  2016   12.68  2008   18.79  1947   13.59  1945   13.00  2005
     8.3  1949     8.7  1997    10.9  1950    12.9  1943    15.7  2000    18.5  1992    19.8  1999    19.6  1911    17.1  1933    14.0  2005    10.4  2003     8.9  1983    8.29  2005   12.64  1997   18.67  1989   13.51  1949   12.97  2011
     8.3  1923     8.7  1918    10.7  1997    12.8  2015    15.7  1992    18.3  1975    19.5  1975    19.3  2000    16.9  2005    14.0  1947    10.4  1920     8.9  1924    8.24  1935   12.60  1990   18.66  1984   13.50  2005   12.97  1995
     8.2  1990     8.7  1914    10.6  2002    12.8  1945    15.6  1952    18.3  1950    19.3  1991    19.1  1959    16.9  2002    13.9  2017    10.3  2014     8.8  2004    8.20  1932   12.57  2012   18.61  1959   13.49  1941   12.94  2017
     8.2  1983     8.5  2007    10.5  2005    12.7  2009    15.6  1922    18.2  2016    19.2  2003    19.1  1944    16.9  1996    13.9  2013    10.3  1995     8.8  1918    8.17  1949   12.57  1960   18.58  1949   13.40  2015   12.88  2004
     8.2  1975     8.5  2000    10.4  1990    12.6  1960    15.5  1989    17.9  2014    19.2  1984    19.1  1933    16.8  1999    13.9  2009    10.3  1939     8.7  2013    8.16  2012   12.52  2009   18.51  1933   13.40  1978   12.85  2016
     8.1  2012     8.5  1959    10.3  2011    12.5  1952    15.4  2004    17.9  2005    19.2  1982    19.0  1916    16.8  1958    13.9  1978    10.3  1913     8.7  2007    8.02  1922   12.50  2002   18.41  1911   13.35  2009   12.85  2002
     8.0  2008     8.5  1949    10.3  1998    12.5  1946    15.4  1978    17.9  2004    19.2  1977    18.9  2012    16.8  1955    13.9  1945    10.2  2004     8.7  1998    7.98  1974   12.49  1999   18.40  2014   13.33  1921   12.82  1945
     8.0  1993     8.4  1939    10.2  2009    12.4  1997    15.4  1964    17.9  1995    19.2  1976    18.9  2004    16.8  1945    13.8  2014    10.2  1938     8.6  1997    7.90  1999   12.48  1943   18.39  2009   13.28  1997   12.75  1999
     7.9  1981     8.4  1926    10.2  2000    12.4  1987    15.4  1940    17.9  1988    19.2  1933    18.9  2002    16.7  2003    13.7  2015    10.1  2006     8.6  1912    7.90  1923   12.47  1952   18.38  2016   13.28  1947   12.74  1975
     7.9  1957     8.3  1993    10.2  1959    12.4  1984    15.3  2007    17.9  1959    19.1  1911    18.9  1991    16.7  2000    13.7  1977    10.1  1983     8.5  1972    7.89  2004   12.46  2004   18.35  1997   13.25  1999   12.72  2008
     7.8  1934     8.3  1992    10.0  2007    12.4  1926    15.3  1980    17.8  1968    19.0  1997    18.8  1968    16.6  1998    13.5  2011    10.1  1953     8.5  1954    7.89  1921   12.43  1961   18.33  2010   13.17  1958   12.71  2009
     7.8  1928     8.2  2017    10.0  1999    12.3  1982    15.2  1999    17.8  1939    19.0  1990    18.8  1937    16.6  1926    13.5  1949    10.1  1945     8.4  2006    7.86  2014   12.38  1938   18.30  2005   13.11  1920   12.67  1998
     7.7  2017     8.2  1990     9.9  2014    12.3  1942    15.2  1947    17.8  1921    19.0  1943    18.7  2013    16.4  2010    13.5  1941    10.1  1917     8.4  1994    7.85  1992   12.29  2010   18.27  1934   13.09  2002   12.67  1989
     7.7  1976     8.2  1953     9.9  2004    12.2  1999    15.2  1911    17.7  2003    19.0  1926    18.7  1936    16.4  2009    13.4  1927    10.0  1964     8.4  1945    7.84  1920   12.26  1957   18.26  1921   13.09  1994   12.65  1990
     7.7  1938     8.2  1928     9.9  1991    12.2  1949    15.1  2012    17.7  1941    18.9  1971    18.7  1926    16.4  2004    13.3  2010    10.0  1924     8.2  1991    7.80  2006   12.20  1944   18.25  2000   13.03  1913   12.64  2000
     7.7  1925     8.1  2004     9.9  1981    12.2  1912    15.1  1998    17.7  1932    18.9  1935    18.6  2016    16.4  1953    13.3  1996     9.9  1999     8.2  1980    7.80  1957   12.06  2005   18.24  1940   13.02  2003   12.64  1943
     7.6  2016     8.1  1989     9.9  1943    12.1  2002    15.1  1950    17.7  1930    18.8  1917    18.6  1914    16.4  1947    13.3  1989     9.9  1981     8.2  1956    7.80  1925   12.06  2000   18.13  2004   13.01  2013   12.63  1971
     7.6  2006     8.1  1935     9.9  1933    12.1  1995    15.1  1918    17.5  2017    18.7  2005    18.5  1981    16.3  1995    13.3  1979     9.9  1955     8.2  1931    7.78  1995   12.06  1946   18.06  1926   12.99  1953   12.59  1983
     7.6  2000     8.1  1923     9.8  1966    12.1  1980    15.0  1970    17.5  2013    18.7  1959    18.5  1970    16.3  1985    13.3  1972     9.9  1931     8.1  2005    7.70  1976   12.02  1929   18.03  1968   12.97  1948   12.58  1953
     7.5  2004     8.0  1995     9.7  2016    12.1  1933    14.9  2014    17.5  1973    18.7  1949    18.5  1945    16.3  1973    13.3  1920     9.8  2009     8.1  2003    7.68  1944   12.00  1953   18.00  1982   12.96  1938   12.56  2015
     7.5  1998     8.0  1927     9.7  1953    12.0  2004    14.9  1997    17.5  1963    18.7  1923    18.5  1939    16.3  1966    13.2  2016     9.8  1958     8.1  1987    7.65  2000   11.99  2016   17.98  1970   12.94  1968   12.46  2013
     7.5  1971     8.0  1921     9.6  1973    12.0  1948    14.9  1937    17.5  1934    18.6  2017    18.4  2001    16.3  1961    13.1  1997     9.8  1951     8.1  1941    7.62  1913   11.98  1933   17.97  2017   12.92  1998   12.46  2001
     7.5  1950     7.9  1999     9.6  1963    11.9  1993    14.8  1956    17.4  2007    18.6  1969    18.4  1990    16.3  1921    13.1  1985     9.7  1986     8.0  1985    7.59  1993   11.97  1950   17.93  1969   12.89  2016   12.43  1938
     7.5  1926     7.9  1971     9.6  1956    11.9  1981    14.8  1939    17.4  1982    18.5  2010    18.4  1935    16.2  2013    13.1  1965     9.7  1946     8.0  1975    7.58  1981   11.94  1982   17.88  1999   12.89  1951   12.42  2012
     7.4  1964     7.9  1938     9.6  1927    11.8  1976    14.7  2002    17.2  2008    18.5  2000    18.3  2005    16.2  2011    13.1  1963     9.7  1928     8.0  1932    7.55  1990   11.92  1992   17.85  1977   12.85  1955   12.39  1948
     7.4  1920     7.9  1922     9.5  2015    11.8  1961    14.7  1988    17.2  1986    18.4  2009    18.3  1973    16.2  1981    13.1  1962     9.5  2005     7.9  1984    7.52  1973   11.91  1998   17.85  1935   12.81  1996   12.36  1957
     7.3  1973     7.8  2006     9.5  1992    11.8  1957    14.7  1948    17.2  1969    18.3  2016    18.3  1940    16.2  1964    13.1  1954     9.5  1971     7.9  1977    7.52  1911   11.91  1981   17.85  1914   12.77  1914   12.34  1984
     7.3  1968     7.8  1982     9.5  1935    11.8  1938    14.6  2010    17.2  1933    18.3  2008    18.3  1919    16.2  1938    13.1  1943     9.4  1998     7.9  1955    7.50  1971   11.88  1912   17.84  1973   12.75  1983   12.33  1982
     7.3  1943     7.8  1980     9.4  2010    11.8  1921    14.6  2009    17.2  1925    18.3  1994    18.2  1977    16.1  2007    13.1  1914     9.4  1979     7.9  1936    7.49  1967   11.85  1956   17.80  1990   12.74  2004   12.33  1933
     7.3  1937     7.8  1974     9.4  1989    11.7  2017    14.6  1943    17.2  1914    18.3  1952    18.2  1949    16.1  1997    13.1  1913     9.4  1963     7.8  1973    7.48  1946   11.80  1940   17.78  2008   12.70  1969   12.32  1934
     7.3  1924     7.8  1934     9.4  1923    11.7  2008    14.5  2006    17.1  1989    18.2  2001    18.1  2009    16.1  1936    13.0  1999     9.4  1947     7.8  1959    7.46  1916   11.79  1949   17.77  1950   12.69  1991   12.32  1914
     7.2  2014     7.8  1911     9.4  1918    11.7  2005    14.5  1984    17.1  1984    18.2  1972    18.1  2006    16.1  1917    13.0  1975     9.3  1992     7.8  1948    7.44  1937   11.77  1939   17.76  1932   12.68  1979   12.30  1911
     7.2  2003     7.7  1975     9.3  1952    11.7  1988    14.5  1946    17.1  1966    18.1  1987    17.9  1999    16.1  1911    13.0  1951     9.3  1941     7.8  1910    7.43  1950   11.75  1988   17.75  1960   12.63  2017   12.29  1976
     7.2  1996     7.7  1967     9.2  1983    11.6  1996    14.4  1991    17.1  1943    18.1  1958    17.9  1998    16.0  2001    12.9  1990     9.3  1921     7.7  2011    7.38  1914   11.69  2015   17.75  1939   12.63  1964   12.29  1926
     7.2  1967     7.7  1946     9.2  1982    11.6  1964    14.4  1945    17.1  1936    18.1  1945    17.9  1969    16.0  1980    12.9  1984     9.3  1914     7.7  1986    7.32  1926   11.69  1921   17.74  1991   12.61  1929   12.28  1960
     7.2  1935     7.6  2014     9.2  1977    11.6  1962    14.4  1929    17.0  1967    18.0  1996    17.8  2008    16.0  1915    12.9  1958     9.2  2008     7.6  1966    7.30  1972   11.68  1942   17.73  1917   12.58  1963   12.24  1944
     7.1  1999     7.6  1962     9.2  1946    11.6  1959    14.3  1982    17.0  1951    18.0  1992    17.8  1980    15.9  1969    12.9  1925     9.2  1975     7.6  1951    7.27  1934   11.68  1914   17.71  1943   12.58  1933   12.24  1939
     7.1  1994     7.5  2009     9.2  1921    11.6  1939    14.3  1977    17.0  1942    18.0  1929    17.8  1938    15.9  1951    12.8  1998     9.2  1960     7.6  1949    7.24  1988   11.66  1991   17.67  2007   12.57  1939   12.20  1991
     7.1  1992     7.5  1913     9.2  1912    11.5  2006    14.3  1971    17.0  1915    17.9  2011    17.8  1932    15.9  1939    12.8  1986     9.2  1959     7.5  1911    7.20  1927   11.64  1974   17.67  1992   12.50  1989   12.19  1973
     7.0  1962     7.4  2001     9.1  2008    11.5  1972    14.3  1944    16.9  2000    17.9  2007    17.8  1927    15.9  1914    12.8  1910     9.2  1956     7.4  2014    7.19  1984   11.63  2001   17.63  1925   12.47  1970   12.17  1955
     7.0  1960     7.4  1976     9.1  1994    11.5  1954    14.3  1942    16.9  1996    17.9  1944    17.8  1918    15.8  2008    12.7  1983     9.2  1949     7.4  1957    7.18  2003   11.61  1980   17.62  1945   12.47  1916   12.16  1961
     7.0  1927     7.3  2016     9.1  1968    11.4  1985    14.3  1935    16.8  1953    17.9  1925    17.8  1917    15.8  1978    12.7  1936     9.2  1918     7.4  1919    7.17  1961   11.59  1993   17.62  1944   12.45  1986   12.14  1988
     7.0  1911     7.3  2005     9.1  1949    11.3  1990    14.3  1912    16.7  2015    17.8  1950    17.8  1913    15.8  1970    12.7  1916     9.1  1970     7.3  2017    7.17  1938   11.57  1918   17.58  1957   12.44  2000   12.05  1994
     6.9  1995     7.3  2003     9.1  1944    11.3  1975    14.2  1930    16.7  1993    17.8  1941    17.7  2017    15.8  1968    12.6  1994     9.1  1940     7.3  2001    7.07  1960   11.56  1964   17.57  2001   12.43  2010   12.05  1992
     6.9  1922     7.3  1984     9.1  1936    11.3  1967    14.1  2011    16.7  1965    17.7  1979    17.7  2007    15.8  1934    12.6  1970     9.1  1922     7.3  1943    7.06  1924   11.52  1989   17.56  1936   12.43  1975   12.04  1968
     6.8  2013     7.3  1958     9.0  1993    11.2  1971    14.1  1975    16.7  1947    17.7  1973    17.7  1953    15.7  1916    12.6  1948     9.0  1957     7.3  1922    7.05  2015   11.51  1935   17.52  1996   12.40  1961   12.03  1964
     6.8  1969     7.3  1957     9.0  1939    11.2  1968    14.1  1966    16.6  1961    17.7  1967    17.7  1925    15.7  1913    12.5  1982     9.0  1943     7.2  2012    7.05  1928   11.50  1984   17.43  2002   12.40  1960   12.03  1935
     6.7  2015     7.3  1948     9.0  1920    11.2  1965    14.1  1961    16.6  1918    17.7  1951    17.6  2015    15.6  1989    12.5  1960     9.0  1916     7.2  2000    7.02  2013   11.48  1927   17.42  1941   12.38  1973   12.01  1932
     6.7  1988     7.3  1910     8.9  1926    11.2  1956    14.1  1949    16.5  1917    17.7  1932    17.6  1996    15.6  1967    12.5  1953     8.9  1991     7.2  1970    7.01  1954   11.42  2006   17.36  1937   12.38  1943   12.00  1974
     6.7  1961     7.2  1987     8.8  1972    11.2  1940    14.1  1928    16.5  1911    17.7  1914    17.6  1989    15.6  1956    12.5  1938     8.9  1990     7.1  2002    7.00  2009   11.42  1926   17.34  1918   12.35  1928   12.00  1942
     6.7  1953     7.2  1950     8.8  1971    11.2  1915    14.1  1927    16.5  1910    17.6  2004    17.6  1952    15.6  1920    12.4  1988     8.9  1988     7.1  1982    6.99  1958   11.41  1971   17.33  1952   12.34  1972   11.98  1920
     6.7  1913     7.2  1932     8.8  1910    11.1  1969    14.1  1921    16.4  1983    17.6  1947    17.6  1942    15.6  1919    12.4  1961     8.9  1987     7.1  1967    6.96  1953   11.37  1919   17.32  1967   12.34  1936   11.98  1918
     6.5  2018     7.1  2015     8.7  1988    11.1  1963    14.1  1917    16.4  1979    17.6  1918    17.5  2010    15.5  2015    12.4  1957     8.9  1980     7.1  1947    6.95  1997   11.35  1978   17.28  1942   12.33  1990   11.97  1940
