Northern_Ireland Minimum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
All 2017 and 2018 data are provisional.  Last updated 1/2/2018.

     JAN  Year     FEB  Year     MAR  Year     APR  Year     MAY  Year     JUN  Year     JUL  Year     AUG  Year    SEP   Year     OCT  Year     NOV  Year     DEC  Year     WIN  Year     SPR  Year     SUM  Year     AUT  Year     ANN  Year
     3.8  1944     4.9  1998     5.4  1957     5.9  2011     7.7  2014    10.4  2005    12.2  2013    12.2  1997    10.6  2006     9.0  2001     6.0  1994     5.1  1934    3.51  1989    5.44  1945   10.93  2003    7.82  2011    6.20  2005
     3.6  1989     3.8  1961     5.1  1938     5.5  2014     7.5  1970    10.2  2016    12.1  2003    12.0  1995    10.4  1958     8.7  1969     5.7  2011     4.9  1988    3.27  1998    5.30  2014   10.90  1995    7.75  2001    6.15  1945
     3.5  1996     3.8  1945     5.0  1945     5.4  1943     7.4  2008    10.1  2004    11.9  1995    11.8  2004    10.2  2016     8.6  1968     5.7  2004     4.4  1954    3.12  1935    5.15  2017   10.85  2016    7.58  1978    6.13  1949
     3.4  1932     3.7  2012     4.7  1990     5.3  2007     7.4  1999    10.1  1970    11.9  1991    11.8  1955    10.1  1999     8.5  1978     5.5  2007     4.4  1953    2.95  2012    5.00  1992   10.82  2005    7.46  2006    6.12  2007
     3.1  2005     3.7  1993     4.5  1961     5.2  1949     7.4  1953    10.1  1966    11.8  1933    11.7  1990    10.1  1953     8.3  1995     5.1  1997     4.2  1931    2.92  1949    4.99  1999   10.79  2006    7.46  1958    6.05  1997
     3.1  2002     3.2  1926     4.3  2012     5.2  1944     7.3  2011    10.0  2017    11.7  2006    11.5  2016    10.1  1941     8.2  2006     5.1  1955     4.1  1974    2.89  1932    4.95  2011   10.74  2013    7.36  2007    6.04  1998
     3.1  1950     3.2  1918     4.3  1998     5.1  1945     7.3  1964     9.9  1992    11.7  1976    11.5  2008    10.0  2004     8.2  2005     5.0  2002     4.1  1921    2.88  1975    4.94  1998   10.62  1933    7.25  1995    6.02  2006
     3.0  2007     3.0  1946     4.1  2005     5.0  2017     7.2  1998     9.9  1976    11.5  1983    11.4  1983     9.9  2011     8.0  1977     5.0  2001     4.0  1956    2.85  2017    4.89  1952   10.61  2004    7.16  1945    6.02  2004
     3.0  1949     3.0  1943     3.9  1948     4.9  1937     7.1  1992     9.9  1960    11.4  2014    11.3  2013     9.9  1980     8.0  1959     5.0  1958     3.9  2015    2.83  1943    4.87  1960   10.49  1983    7.11  1953    6.01  2014
     3.0  1921     2.9  1939     3.8  2000     4.7  2009     7.1  1960     9.7  2014    11.4  2005    11.3  2012     9.9  1949     8.0  1921     5.0  1948     3.9  1971    2.77  1923    4.78  1990   10.44  1997    7.05  1999    6.00  2017
     2.9  2012     2.8  1949     3.7  1997     4.7  2004     6.9  2017     9.7  2010    11.4  1989    11.2  2006     9.8  2005     7.8  2011     5.0  1938     3.6  2016    2.57  2007    4.78  1961   10.42  1976    7.00  1949    5.99  2002
     2.9  1976     2.7  1923     3.7  1992     4.7  1999     6.9  1952     9.7  1950    11.3  2010    11.2  1991     9.7  1998     7.7  2013     4.9  1953     3.6  1983    2.56  1976    4.75  1997   10.40  1947    6.94  2004    5.95  1999
     2.9  1916     2.5  1928     3.5  2017     4.7  1997     6.8  2001     9.6  2007    11.3  1944    11.2  1975     9.7  1955     7.7  1971     4.9  1945     3.5  1945    2.53  2005    4.65  1957   10.33  1949    6.94  1968    5.82  2016
     2.8  1973     2.4  2011     3.5  1959     4.7  1993     6.8  1947     9.6  2003    11.2  1999    11.2  1947     9.6  1978     7.6  1989     4.8  2015     3.4  1924    2.50  1922    4.63  1959   10.31  1955    6.92  2005    5.82  1953
     2.8  1923     2.4  2002     3.4  1991     4.7  1987     6.7  1990     9.6  1993    11.2  1952    11.1  2003     9.6  1946     7.6  1949     4.8  1995     3.3  1997    2.48  1946    4.57  1943   10.28  2008    6.92  1946    5.80  2011
     2.6  2017     2.4  1999     3.3  1966     4.6  1933     6.6  1965     9.6  1947    11.1  2008    11.1  1949     9.6  1929     7.5  2017     4.6  1978     3.3  1977    2.40  2016    4.55  1991   10.26  2014    6.89  1921    5.76  1995
     2.6  1975     2.4  1966     3.3  1956     4.6  1926     6.6  1956     9.5  2006    11.1  1949    11.0  2002     9.5  1956     7.5  2009     4.6  1924     3.2  1918    2.40  1992    4.54  2002   10.24  1945    6.88  1951    5.70  1990
     2.6  1974     2.4  1953     3.3  1950     4.5  2003     6.5  2003     9.4  2002    11.1  1945    11.0  1916     9.4  2010     7.5  2007     4.6  1920     3.1  2013    2.40  1944    4.51  2009   10.20  2010    6.85  1947    5.70  1943
     2.6  1925     2.3  2017     3.2  1983     4.5  1952     6.5  1954     9.3  1933    11.1  1934    10.9  2009     9.4  2000     7.5  1990     4.5  1956     3.1  1991    2.39  1954    4.51  2007   10.20  1959    6.83  1948    5.69  1921
     2.5  1990     2.3  1921     3.2  1981     4.3  1964     6.4  2016     9.2  1988    11.0  1921    10.9  1959     9.4  1985     7.5  1947     4.5  1951     3.1  1942    2.28  1925    4.49  2005   10.18  2009    6.72  1997    5.66  2003
     2.5  1983     2.2  2000     3.2  1960     4.3  1955     6.4  2006     9.2  1984    10.9  2016    10.8  1999     9.3  2013     7.3  1996     4.4  1946     3.0  1932    2.27  2014    4.48  2004   10.16  2002    6.72  1994    5.65  1948
     2.4  2016     2.2  1995     3.2  1952     4.2  2002     6.4  2004     9.2  1982    10.9  2009    10.8  1984     9.3  1951     7.3  1954     4.4  1939     2.9  2006    2.23  2008    4.43  1964   10.16  1990    6.72  1956    5.54  2013
     2.4  1943     2.1  1990     3.1  1977     4.2  1992     6.4  2002     9.2  1940    10.9  1923    10.8  1969     9.3  1945     7.2  1979     4.4  1917     2.9  1975    2.21  1993    4.43  1933   10.13  1984    6.68  2009    5.53  1988
     2.4  1935     2.0  1992     3.1  1936     4.2  1961     6.4  1959     9.0  1986    10.8  1997    10.8  1936     9.2  2001     7.2  1965     4.2  2014     2.9  1948    2.21  1950    4.35  1993   10.13  1952    6.66  1955    5.53  1983
     2.3  2008     2.0  1971     3.1  1927     4.2  1960     6.4  1944     9.0  1963    10.8  1994    10.7  2005     9.2  1966     7.2  1945     4.2  1921     2.9  1922    2.16  1957    4.32  1949   10.11  1944    6.63  2014    5.52  1959
     2.3  1924     2.0  1967     3.0  2002     4.2  1948     6.4  1940     9.0  1941    10.8  1987    10.7  1996     9.2  1948     7.0  1999     4.1  1983     2.8  1987    2.13  2002    4.29  2003   10.10  2017    6.60  2013    5.51  1989
     2.2  2004     2.0  1959     3.0  1943     4.2  1940     6.4  1919     8.9  2000    10.8  1959    10.7  1945     9.2  1936     7.0  1963     4.1  1922     2.8  1947    2.10  1973    4.28  2008   10.09  1991    6.56  1971    5.50  2009
