Northern_Ireland Mean Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
All 2017 and 2018 data are provisional.  Last updated 1/2/2018.

     JAN  Year     FEB  Year     MAR  Year     APR  Year     MAY  Year     JUN  Year     JUL  Year     AUG  Year    SEP   Year     OCT  Year     NOV  Year     DEC  Year     WIN  Year     SPR  Year     SUM  Year     AUT  Year     ANN  Year
     6.4  1989     7.5  1998     8.5  1938    10.6  2011    12.3  2008    14.6  1970    17.0  2013    17.1  1995    14.2  2006    11.9  1969     8.8  1994     7.2  1988    6.24  1989    9.21  2017   15.46  1995   10.82  2006    9.77  2007
     6.2  1944     6.8  1945     8.2  1957    10.2  2007    12.1  2017    14.4  1940    16.7  2006    16.6  1947    13.9  1949    11.7  2001     8.7  2011     7.2  1934    5.97  1998    9.13  1945   15.16  2006   10.81  2011    9.64  2006
     6.2  1932     6.6  1961     8.2  1945     9.6  2014    11.8  1960    14.3  2010    16.5  1983    16.1  1997    13.9  1941    11.5  2006     8.1  2007     6.9  2015    5.67  1943    9.08  2014   15.03  2013   10.71  2001    9.59  2014
     6.2  1916     6.2  2012     8.1  2012     9.3  1944    11.6  2001    14.3  1976    16.3  1989    16.1  1955    13.6  2016    11.4  1995     7.9  2015     6.8  1953    5.67  1935    9.07  2011   15.02  1976   10.58  2007    9.58  2005
     6.1  2002     6.0  1993     8.1  1961     9.2  1943    11.6  1953    14.3  1960    15.9  1995    15.9  1983    13.6  1958    11.4  1968     7.9  2004     6.7  1974    5.65  1975    8.97  2007   14.99  1983   10.47  1978    9.57  1949
     6.0  2007     6.0  1943     7.9  1948     9.0  2003    11.5  1959    14.2  2016    15.7  2014    15.7  1975    13.5  1929    11.3  1959     7.9  1948     6.7  1921    5.62  2017    8.74  1960   14.95  2003   10.46  1995    9.53  1997
     6.0  1921     5.9  1918     7.5  1990     8.9  1945    11.4  1992    14.2  2006    15.7  1934    15.6  2003    13.4  1999    11.2  1978     7.8  2001     6.4  2016    5.58  2007    8.74  1959   14.61  2016   10.35  1945    9.47  1945
     5.9  2005     5.8  2011     7.3  2005     8.8  1955    11.4  1990    14.2  1992    15.7  1921    15.3  2004    13.3  2014    11.2  1921     7.8  1997     6.4  1971    5.56  1949    8.71  1999   14.60  1975   10.32  1958    9.46  2017
     5.7  1949     5.8  1926     7.2  2017     8.7  2009    11.4  1964    14.1  2005    15.6  2003    15.3  1984    13.3  2005    11.1  2005     7.7  2002     6.4  1954    5.55  2012    8.70  1990   14.58  1955   10.28  2014    9.43  2004
     5.5  2012     5.7  1949     7.2  1998     8.7  1949    11.3  2014    14.0  1950    15.6  1991    15.3  1976    13.3  1959    11.0  2007     7.6  1938     6.3  1983    5.53  1932    8.68  1961   14.56  1947   10.25  1949    9.40  2003
     5.5  1923     5.7  1939     7.2  1997     8.6  1987    11.3  1999    13.9  2004    15.5  1999    15.1  2012    13.3  1953    10.9  1971     7.5  1995     6.2  1931    5.46  2008    8.67  1952   14.54  2005   10.24  1959    9.40  2002
     5.4  1990     5.6  2002     7.1  1950     8.5  1999    11.3  1970    13.8  2017    15.5  1976    15.1  1990    13.2  1955    10.8  2017     7.5  1978     6.1  1956    5.40  2005    8.66  1997   14.53  1933   10.19  2005    9.36  2011
     5.4  1975     5.5  2008     7.0  2000     8.5  1997    11.3  1919    13.8  2014    15.5  1955    15.0  2016    13.1  2004    10.8  2013     7.5  1955     6.1  1942    5.35  2016    8.63  2003   14.43  1949   10.17  1971    9.35  1921
     5.4  1974     5.4  1928     6.8  2002     8.5  1952    11.2  2016    13.8  1949    15.5  1933    15.0  2013    13.1  1998    10.8  1977     7.5  1953     6.1  1924    5.33  1923    8.56  1948   14.41  1984   10.11  1999    9.34  1995
     5.3  1996     5.4  1923     6.8  1959     8.4  2004    11.2  1952    13.6  2009    15.1  1975    15.0  1991    13.1  1971    10.7  2011     7.5  1945     6.0  1945    5.26  1922    8.54  1943   14.37  1997   10.11  1921    9.32  2016
     5.3  1983     5.3  2017     6.7  2003     8.4  1960    11.1  1998    13.6  2003    15.0  2005    15.0  1959    13.1  1945    10.7  2009     7.5  1920     6.0  1918    5.23  2002    8.50  2002   14.37  1989   10.07  1947    9.32  1959
     5.3  1976     5.3  2000     6.7  1991     8.4  1926    11.0  1947    13.6  1966    14.9  2010    15.0  1916    13.0  2011    10.7  1947     7.4  1958     5.9  2013    5.15  1992    8.49  2009   14.37  1959   10.06  1953    9.31  1999
     5.3  1950     5.3  1953     6.6  1992     8.4  1914    11.0  1911    13.5  2007    14.9  1997    15.0  1911    13.0  2000    10.5  1949     7.4  1939     5.9  1997    5.12  1976    8.46  2004   14.35  2004    9.98  1997    9.31  1998
     5.2  2008     5.3  1946     6.6  1966     8.3  2017    10.9  2004    13.5  1988    14.9  1977    14.9  2002    13.0  1980    10.5  1945     7.3  1924     5.8  2004    5.05  2014    8.46  1957   14.30  2014    9.97  2009    9.19  1953
     5.2  1925     5.3  1920     6.5  1981     8.3  1993    10.9  1940    13.4  1959    14.9  1926    14.9  1933    12.9  1991    10.4  1989     7.2  2014     5.7  2007    5.04  1944    8.45  2008   14.25  2009    9.95  1941    9.17  1990
     5.1  2017     5.2  1997     6.5  1943     8.3  1946    10.9  1922    13.3  1995    14.8  1990    14.8  2000    12.9  1985    10.3  2014     7.2  2003     5.6  2006    5.04  1925    8.44  1992   14.21  2010    9.92  1968    9.17  1943
     5.1  1981     5.2  1992     6.5  1929     8.3  1933    10.8  1989    13.3  1982    14.8  1984    14.8  1944    12.9  1933    10.3  1996     7.2  1917     5.6  1991    5.00  1974    8.37  2012   14.03  2017    9.91  1948    9.10  1989
     5.0  2016     5.2  1959     6.4  1999     8.2  1948    10.7  2011    13.3  1963    14.8  1949    14.7  1936    12.8  2010    10.2  1990     7.2  1913     5.6  1977    4.98  1957    8.37  1998   14.01  2000    9.90  1994    9.08  2009
     5.0  1993     5.2  1921     6.4  1956     8.1  2010    10.7  2007    13.3  1957    14.8  1923    14.6  2008    12.8  2002    10.2  1979     7.1  1983     5.5  1998    4.98  1946    8.27  1938   14.01  1911    9.88  1951    9.08  1983
     5.0  1973     5.2  1914     6.4  1933     8.1  2002    10.7  2000    13.3  1941    14.8  1911    14.6  2006    12.8  1966    10.2  1965     7.1  1951     5.5  1994    4.92  1999    8.26  2005   13.99  2008    9.88  1913    9.06  2008
     5.0  1934     5.1  2007     6.3  2014     8.1  1982    10.7  1956    13.2  1934    14.7  2008    14.6  1949    12.8  1947    10.2  1954     7.0  1999     5.5  1987    4.91  1993    8.21  1944   13.99  1934    9.85  2015    9.05  1971
     4.9  1943     5.1  1999     6.3  2009     8.1  1912    10.7  1918    13.2  1933    14.7  1959    14.6  1937    12.7  2013    10.1  1963     7.0  1946     5.5  1932    4.91  1921    8.19  1933   13.97  1990    9.82  2004    9.01  2000
     4.8  2004     5.1  1995     6.3  1952     8.0  1995    10.6  2002    13.1  1993    14.7  1952    14.5  2009    12.7  2003    10.1  1913     6.8  2006     5.5  1912    4.86  2006    8.09  1991   13.93  1999    9.79  2013    9.01  1975
