Northern_Ireland Sunshine (Total hours)
Areal series, starting from 1929
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
All 2017 and 2018 data are provisional.  Last updated 1/2/2018.

     JAN  Year     FEB  Year     MAR  Year     APR  Year     MAY  Year     JUN  Year     JUL  Year     AUG  Year    SEP   Year     OCT  Year     NOV  Year     DEC  Year     WIN  Year     SPR  Year     SUM  Year     AUT  Year     ANN  Year
    77.1  1959   101.1  2004   172.8  1929   206.9  2015   277.9  1946   258.9  1940   247.6  1955   261.4  1947   164.4  1991   114.7  1939    80.2  1950    61.5  2010   201.2  2011   542.0  1975   605.2  1995   330.3  1986  1456.2  1955
    71.3  2011   100.2  1960   152.2  2003   206.3  1962   257.5  1975   256.6  1957   232.5  1989   253.0  1976   162.8  1933   112.1  1952    76.6  2010    59.8  2001   186.7  2001   538.9  2007   558.2  1968   309.7  1987  1453.0  1975
    67.2  1933    96.8  1996   144.2  1982   205.6  1974   253.2  2017   256.2  1949   223.2  2013   233.6  1995   157.9  1986   110.7  1987    76.0  2016    59.1  1935   181.8  1957   529.4  1962   555.6  1976   299.1  2010  1422.4  1959
    66.5  2001    96.3  1968   143.3  1955   199.4  1938   252.6  1935   239.9  1939   209.0  1990   195.1  1968   151.3  1987   109.9  1929    75.5  2005    56.9  1960   179.7  1960   527.1  2008   547.1  1977   297.3  1959  1414.5  2010
    63.6  1957    93.2  1970   142.5  1975   198.5  1942   244.5  2000   231.8  2009   207.7  2006   186.2  1977   146.4  1996   105.4  2010    75.5  1935    53.1  1938   179.0  2004   526.7  1948   537.3  1989   289.4  1991  1399.4  1995
    60.5  1939    92.6  1957   133.9  2015   194.6  2011   237.5  1984   231.2  1930   201.9  1934   182.4  2003   144.2  1949   104.4  1986    73.9  1947    51.8  1929   176.7  1961   526.5  1955   529.8  1975   286.3  1952  1386.2  1935
    59.2  1963    87.9  2001   129.6  2010   193.1  2007   236.0  2008   226.0  1975   195.7  1943   181.9  1997   139.6  1959   103.3  1931    73.5  1948    49.8  2012   173.9  2003   525.8  1929   521.0  1947   282.4  1929  1385.0  2006
    58.7  2015    87.6  2006   126.7  1948   186.5  1957   235.3  1977   223.0  1960   190.3  1935   175.3  1931   135.6  1971   102.1  1998    72.6  1974    49.0  1946   172.4  1959   524.9  1946   513.2  1960   279.3  1933  1369.8  1960
    58.7  1961    84.7  2008   125.5  1937   184.1  1969   235.2  1948   217.4  1995   181.2  1984   168.7  2000   134.0  1955   100.9  1966    70.1  1976    48.3  2009   172.2  1963   499.3  1935   509.8  2006   278.3  1971  1365.6  1977
    58.4  1991    82.5  1944   122.4  2004   178.8  1955   225.3  2007   208.0  1951   177.3  1982   165.4  2010   132.3  1997   100.5  2015    68.8  1964    46.3  1948   172.1  1936   491.9  2015   503.2  1969   276.8  1949  1363.3  1989
    57.8  1965    82.4  1932   120.7  1962   176.2  1954   224.2  1989   207.1  1968   176.7  1977   164.7  1944   130.8  1972    97.7  2008    68.7  1930    45.4  1963   171.0  2002   486.3  2010   501.8  1949   274.1  1974  1363.0  2009
    56.9  1978    81.4  2003   120.6  2017   175.4  1984   221.4  1980   206.4  1959   176.1  1999   156.9  1938   130.4  2015    97.6  1961    68.6  2003    44.7  1990   170.4  1968   485.5  1984   501.0  1934   271.5  1996  1361.6  1949
    56.7  2003    80.5  1989   120.5  2007   174.4  2008   219.3  1959   205.4  1969   175.7  1983   155.7  1974   127.2  1964    97.3  1994    68.6  1977    44.0  2014   168.0  1951   485.1  2011   498.5  1955   271.0  2012  1356.0  1968
    56.6  1931    80.0  2013   119.8  2011   169.8  1936   218.1  2016   204.4  1932   170.5  2017   155.5  1945   126.5  1954    96.4  1956    68.0  1986    44.0  2006   166.6  1930   483.8  1942   495.0  2009   268.8  1972  1353.3  1929
