Northern_Ireland Rainfall (mm)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
All 2017 and 2018 data are provisional.  Last updated 1/2/2018.

     JAN  Year     FEB  Year     MAR  Year     APR  Year     MAY  Year     JUN  Year     JUL  Year     AUG  Year    SEP   Year     OCT  Year     NOV  Year     DEC  Year     WIN  Year     SPR  Year     SUM  Year     AUT  Year     ANN  Year
   192.3  1928   193.6  1990   146.8  1992   144.2  1961   156.1  1916   179.0  2012   186.2  1936   201.4  2008   193.9  1950   210.7  2011   220.0  2009   224.1  1919   506.6  2016   353.1  1986   420.3  1912   466.5  2011  1411.0  2002
   186.3  2008   173.0  1923   142.1  2006   125.0  1993   146.3  1981   152.6  1912   163.1  1960   192.5  1985   184.1  1962   208.5  1990   192.4  2002   220.2  2015   489.7  1994   348.8  1947   404.3  1958   464.3  2000  1362.5  1928
   185.8  1984   171.2  2014   140.6  1988   123.4  1950   138.5  1993   148.0  2007   154.2  1950   181.9  1956   180.4  1946   200.8  2002   190.5  2015   218.4  1999   489.0  2014   331.8  1993   398.9  2008   438.3  1944  1323.2  2015
   180.1  1988   165.4  2002   136.9  1947   119.7  1991   135.2  2002   147.1  1931   141.2  1938   181.4  1910   178.2  1999   189.2  1916   184.2  1963   211.7  1929   447.5  1920   328.9  2006   396.9  2012   435.7  2002  1303.3  1923
   178.9  1948   162.1  1977   134.7  1994   116.2  1916   133.4  1925   142.5  1958   137.5  2010   181.2  1930   176.6  1981   188.6  1976   177.7  2014   200.6  1978   439.8  1984   322.7  1981   387.9  1910   432.7  1954  1296.6  2014
   178.8  1942   161.0  1966   132.1  2008   115.2  1996   130.6  1986   137.3  1928   135.9  1953   179.8  1923   163.8  1918   182.6  1938   167.3  1979   198.8  1914   428.5  1995   321.7  1916   387.0  1956   422.8  1981  1276.6  1954
   175.7  2016   159.2  1910   130.5  1981   112.2  1940   127.8  2003   126.4  1990   135.6  1988   172.6  1943   162.2  2010   182.0  1917   164.9  1951   198.2  1993   425.5  1915   316.2  1972   384.0  2007   420.7  1938  1276.1  1966
   173.2  2014   140.8  1997   127.9  1989   111.6  1913   126.6  1924   125.4  1966   133.8  2009   172.1  1992   156.9  1934   178.6  1998   163.3  1982   177.9  1911   415.5  1937   311.2  2002   383.9  1985   413.4  1935  1272.6  2011
   170.9  2018   137.8  1914   127.9  1914   110.2  1925   124.0  2015   120.8  1982   132.2  1958   165.4  2009   156.4  1985   178.2  2000   162.1  1931   176.2  1966   410.1  1990   306.7  1913   374.5  1950   412.8  1967  1270.7  2008
   168.5  1974   137.0  1937   125.8  1940   110.1  2009   122.3  1967   119.8  2002   131.8  1924   164.0  1929   154.7  1974   173.2  1995   159.4  1938   174.0  1915   404.6  1923   305.4  1992   369.8  1960   412.6  1918  1270.3  1990
